Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,pure,Quito,471,2,False,24,4,10,N/A,36,1.80953904585034,0.15909506010762425,0.0054107702663186135,1.5,2.5,2,6.523426221878594,1.0,4.0,1.1693845815958372
VST-NCA,N/A,Quito,282,1,False,25,2,10,N/A,2,39.30169845352883,0.5441121309752928,0.021553942731710893,3.0,5.0,0,5.219576741507353,1.0,4.0,1.427890341168933
VST-CA,mixed,Quito,282,1,False,25,2,10,N/A,2,39.30169845352883,0.5441121309752928,0.021553942731710893,3.0,5.0,2,7.035235355675354,1.0,4.0,1.427890341168933
VST-CA,pure,Quito,282,1,False,25,2,10,N/A,2,39.30169845352883,0.5441121309752928,0.021553942731710893,3.0,5.0,2,7.0127046234265435,1.0,4.0,1.427890341168933
VST-NCA,N/A,Quito,536,1,False,26,3,10,N/A,9,17.234428250028422,0.2771532421924531,0.005765606987451791,1.0,4.0,0,3.4698085582518843,1.0,4.0,1.0701531116387426
VST-CA,mixed,Quito,536,1,False,26,3,10,N/A,9,17.234428250028422,0.2771532421924531,0.005765606987451791,1.0,4.0,2,4.9255707389437475,1.0,4.0,1.0701531116387426
VST-CA,pure,Quito,536,1,False,26,3,10,N/A,9,17.234428250028422,0.2771532421924531,0.005765606987451791,1.0,4.0,2,5.105653170570122,1.0,4.0,1.0701531116387426
VST-NCA,N/A,Quito,210,1,False,27,3,10,N/A,7,91.1785078070966,0.9037572937400085,0.10769570042195699,3.0,5.0,0,4.292756619853321,1.0,4.0,1.8001729948779532
VST-CA,mixed,Quito,210,1,False,27,3,10,N/A,7,91.1785078070966,0.9037572937400085,0.10769570042195699,3.0,5.0,2,6.188569549562885,1.0,4.0,1.8001729948779532
VST-CA,pure,Quito,210,1,False,27,3,10,N/A,7,91.1785078070966,0.9037572937400085,0.10769570042195699,3.0,5.0,2,5.711616417007235,1.0,4.0,1.8001729948779532
VST-NCA,N/A,Quito,673,2,False,28,4,10,N/A,23,1.8211966803919086,0.09253981061467352,0.002037282849121157,2.0,2.0,0,3.4567458968731444,1.0,4.0,0.9767840304504474
VST-CA,mixed,Quito,673,2,False,28,4,10,N/A,23,1.0927215801412549,0.09266144401163832,0.001991407957922499,1.0,1.5,3,4.49147202547249,1.0,4.0,0.9573943830940987
VST-CA,pure,Quito,673,2,False,28,4,10,N/A,23,1.0927215801412549,0.09266144401163832,0.001991407957922499,1.0,1.5,3,5.280740834603421,1.0,4.0,0.9573943830940987
VST-NCA,N/A,Quito,525,2,False,29,5,10,N/A,58,2.3521983987503448,0.15640614824041776,0.005416245987018638,1.0,2.5,0,5.421365668068347,1.0,4.0,1.2106776233737222
VST-CA,mixed,Quito,525,2,False,29,5,10,N/A,58,2.3521983987503448,0.15640614824041776,0.005416245987018638,1.0,2.5,2,10.165720649079049,1.0,4.0,1.2106776233737222
VST-CA,pure,Quito,525,2,False,29,5,10,N/A,58,2.3521983987503448,0.15640614824041776,0.005416245987018638,1.0,2.5,2,10.657903618709724,1.0,4.0,1.2106776233737222
VST-NCA,N/A,Quito,669,3,False,30,7,10,N/A,197,1.0185546261698035,0.09554341091170805,0.0015005835919017266,0.3333333333333333,1.3333333333333333,0,7.265702451119068,1.0,4.0,1.1018939129533878
VST-CA,mixed,Quito,669,3,False,30,7,10,N/A,197,0.9723480420664802,0.09476101946508923,0.0015005835919017266,0.3333333333333333,1.3333333333333333,3,13.260933085588363,1.0,4.0,1.0896450920350575
VST-CA,pure,Quito,669,3,False,30,7,10,N/A,197,0.9723480420664802,0.09476101946508923,0.0015005835919017266,0.3333333333333333,1.3333333333333333,3,13.307099059666825,1.0,4.0,1.0896450920350575
VST-NCA,N/A,Quito,504,2,False,31,5,10,N/A,17,3.7695958808334646,0.15139770081550522,0.0028396942280718173,0.5,2.5,0,6.700985413604826,1.0,4.0,1.33215382065393
VST-CA,mixed,Quito,504,2,False,31,5,10,N/A,17,3.7695958808334646,0.15139770081550522,0.0028396942280718173,0.5,2.5,2,11.429550013007088,1.0,4.0,1.33215382065393
VST-CA,pure,Quito,504,2,False,31,5,10,N/A,17,3.7695958808334646,0.15139770081550522,0.0028396942280718173,0.5,2.5,2,12.833053258441396,1.0,4.0,1.33215382065393
VST-NCA,N/A,Quito,130,1,False,32,1,10,N/A,1,0.5261136487693676,0.16744970258987496,0.019396663928775627,1.0,3.0,0,0.050102812551926945,1.0,4.0,0.753749611787404
VST-CA,mixed,Quito,130,1,False,32,1,10,N/A,1,0.5261136487693676,0.16744970258987496,0.019396663928775627,1.0,3.0,2,0.5268652810162848,1.0,4.0,0.753749611787404
VST-CA,pure,Quito,130,1,False,32,1,10,N/A,1,0.5261136487693676,0.16744970258987496,0.019396663928775627,1.0,3.0,2,0.5380888036755778,1.0,4.0,0.753749611787404
VST-NCA,N/A,Quito,519,2,False,33,4,10,N/A,35,0.8927472548315685,0.14296157413923669,0.004079862323239592,1.0,1.5,0,4.223438972292911,1.0,4.0,1.039163057315036
VST-CA,mixed,Quito,519,2,False,33,4,10,N/A,35,0.8927472548315685,0.14296157413923669,0.004079862323239592,1.0,1.5,2,5.6799176236385165,1.0,4.0,1.039163057315036
VST-CA,pure,Quito,519,2,False,33,4,10,N/A,35,0.8927472548315685,0.14296157413923669,0.004079862323239592,1.0,1.5,2,5.737941483098211,1.0,4.0,1.039163057315036
VST-NCA,N/A,Quito,518,3,False,34,8,10,N/A,86,1.845790655992492,0.19995431846490158,0.00394126061574397,0.6666666666666666,2.0,0,8.50576827957434,1.0,4.0,1.6011722866310742
VST-CA,mixed,Quito,518,3,False,34,8,10,N/A,86,1.6384970042591982,0.20087225261468672,0.00394126061574397,0.6666666666666666,1.6666666666666667,3,15.931213290747792,1.0,4.0,1.5853415432774653
VST-CA,pure,Quito,518,3,False,34,8,10,N/A,86,1.6384970042591982,0.20087225261468672,0.00394126061574397,0.6666666666666666,1.6666666666666667,3,20.991363271937985,1.0,4.0,1.5853415432774653
VST-NCA,N/A,Quito,671,2,False,35,6,10,N/A,217,1.043631559266112,0.10422816520714263,0.002075781752149191,0.5,2.0,0,3.554643815397867,1.0,4.0,0.8710212996815155
VST-CA,mixed,Quito,671,2,False,35,6,10,N/A,217,0.8479926593453649,0.104345932424909,0.002314046751703718,1.0,1.5,3,5.43903111061627,1.0,4.0,0.8573783218811076
VST-CA,pure,Quito,671,2,False,35,6,10,N/A,217,0.810871310314225,0.10395156343650735,0.002314046751703718,1.0,1.5,3,4.710410456760883,1.0,4.0,0.854603655419821
VST-NCA,N/A,Quito,339,2,False,36,4,10,N/A,18,1.026867823622243,0.20965034822955142,0.006686397418880059,0.5,1.5,0,3.7150760031281607,1.0,4.0,1.2885634661669958
VST-CA,mixed,Quito,339,2,False,36,4,10,N/A,18,0.9107381998367935,0.20300688095909794,0.006686397418880059,0.5,1.5,3,4.037111995613486,1.0,4.0,1.28322186323301
VST-CA,pure,Quito,339,2,False,36,4,10,N/A,18,0.9107381998367935,0.20300688095909794,0.006686397418880059,0.5,1.5,3,4.64556137548152,1.0,4.0,1.28322186323301
VST-NCA,N/A,Quito,368,2,False,37,4,10,N/A,28,2.8875560706645333,0.24786480698391974,0.010215790503501928,1.0,2.5,0,6.086954668131966,1.0,4.0,1.387653868996241
VST-CA,mixed,Quito,368,2,False,37,4,10,N/A,28,1.3794339568433756,0.2586889902866868,0.008061021386338999,1.0,2.0,3,8.521836170201823,1.0,4.0,1.41840050409732
VST-CA,pure,Quito,368,2,False,37,4,10,N/A,28,1.3794339568433756,0.2586889902866868,0.008061021386338999,1.0,2.0,3,11.95802389893447,1.0,4.0,1.41840050409732
