Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Total.POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,pure,Melbourne,353,1,False,38,2,10,N/A,2,4.902405802686923,0.2878776081399264,0.011044348124081874,2.0,3.0,2,8.452330621797842,1.0,4.0,1.151059936591692
VST-NCA,N/A,Melbourne,1144,4,False,39,10,10,N/A,103,1.8544524307694406,0.11770575691980534,0.0014243946336338269,1.0,1.25,0,10.192382041889914,1.0,4.0,1.4203506902487184
VST-CA,mixed,Melbourne,1144,4,False,39,10,10,N/A,103,1.5907077705732622,0.11427674451375446,0.0010682959752253702,0.75,1.25,5,17.305163996777083,1.0,4.0,1.3987449123430993
VST-CA,pure,Melbourne,1144,4,False,39,10,10,N/A,103,1.5907077705732622,0.11427674451375446,0.0010682959752253702,0.75,1.25,5,30.597089668572153,1.0,4.0,1.3987449123430993
VST-NCA,N/A,Melbourne,408,1,False,40,1,10,N/A,1,0.6811620477743885,0.10539218456642041,0.01080021603012198,2.0,2.0,0,0.3542696716590399,1.0,4.0,0.6132740618373036
VST-CA,mixed,Melbourne,408,1,False,40,1,10,N/A,1,0.6811620477743885,0.10539218456642041,0.01080021603012198,2.0,2.0,2,0.8284121865540328,1.0,4.0,0.6132740618373036
VST-CA,pure,Melbourne,408,1,False,40,1,10,N/A,1,0.6811620477743885,0.10539218456642041,0.01080021603012198,2.0,2.0,2,0.919615940149697,1.0,4.0,0.6132740618373036
VST-NCA,N/A,Melbourne,109,1,False,41,1,10,N/A,2,0.38565357176580717,0.14216351679456446,0.02355214075443688,1.0,2.0,0,0.10980791086217323,1.0,4.0,0.8168366909982422
VST-CA,mixed,Melbourne,109,1,False,41,1,10,N/A,2,0.38565357176580717,0.14216351679456446,0.02355214075443688,1.0,2.0,2,0.29610054432032484,1.0,4.0,0.8168366909982422
VST-CA,pure,Melbourne,109,1,False,41,1,10,N/A,2,0.38565357176580717,0.14216351679456446,0.02355214075443688,1.0,2.0,2,0.3022254802226598,1.0,4.0,0.8168366909982422
