Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,pure,Melbourne,296,2,False,18,3,10,N/A,4,13.91225977049335,0.3434521749591591,0.042652833945352873,3.0,3.0,2,6.570526173679582,1.0,4.0,1.5531911865696757
VST-NCA,N/A,Melbourne,231,2,False,19,3,10,N/A,4,2.007794359300441,0.21286361408560345,0.014329566421829669,1.0,2.0,0,3.737888191892523,1.0,4.0,1.4944659717346653
VST-CA,mixed,Melbourne,231,2,False,19,3,10,N/A,4,1.2861799985898041,0.24129460108698675,0.012350551580207208,1.0,2.0,3,5.673786766490991,1.0,4.0,1.5401697873095175
VST-CA,pure,Melbourne,231,2,False,19,3,10,N/A,4,1.2861799985898041,0.24129460108698675,0.012350551580207208,1.0,2.0,3,6.9208625596121465,1.0,4.0,1.5401697873095175
VST-NCA,N/A,Melbourne,227,2,False,20,2,10,N/A,2,3.6351365972910825,0.16788800524899672,0.006398100402747324,2.5,2.5,0,4.460233115470942,1.0,4.0,1.2937491093262616
VST-CA,mixed,Melbourne,227,2,False,20,2,10,N/A,2,1.6323221487913777,0.18851988693516103,0.008750700856314212,2.0,2.0,3,4.488909705354899,1.0,4.0,1.3201140892077796
VST-CA,pure,Melbourne,227,2,False,20,2,10,N/A,2,0.7591839358381947,0.19287762877044196,0.0076174218641482825,1.0,2.0,4,6.4876271636723,1.0,4.0,1.2603450495167152
VST-NCA,N/A,Melbourne,384,1,False,21,1,10,N/A,1,1.6207794845669898,0.17955920511979867,0.012960837893172983,2.0,3.0,0,1.4371955246440393,1.0,4.0,0.7873286018024204
VST-CA,mixed,Melbourne,384,1,False,21,1,10,N/A,1,1.6207794845669898,0.17955920511979867,0.012960837893172983,2.0,3.0,2,5.475955205386299,1.0,4.0,0.7873286018024204
VST-CA,pure,Melbourne,384,1,False,21,1,10,N/A,1,1.6207794845669898,0.17955920511979867,0.012960837893172983,2.0,3.0,2,5.023581555874216,1.0,4.0,0.7873286018024204
VST-NCA,N/A,Melbourne,568,3,False,22,4,10,N/A,14,1.7456943754394578,0.10644062397527235,0.00518804332341077,1.0,2.3333333333333335,0,5.284247790684788,1.0,4.0,1.1985012872014582
VST-CA,mixed,Melbourne,568,3,False,22,4,10,N/A,14,1.7456943754394578,0.10644062397527235,0.00518804332341077,1.0,2.3333333333333335,2,8.998319945398237,1.0,4.0,1.1985012872014582
VST-CA,pure,Melbourne,568,3,False,22,4,10,N/A,14,0.8951996444704118,0.1043743030340407,0.00518804332341077,1.0,1.6666666666666667,4,19.654391925632353,1.0,4.0,1.190621841436461
VST-NCA,N/A,Melbourne,367,2,False,23,3,10,N/A,3,1.9860758422903033,0.19739290929626666,0.008580047545364448,1.5,2.5,0,3.873805240775596,1.0,4.0,1.308578691615987
VST-CA,mixed,Melbourne,367,2,False,23,3,10,N/A,3,1.9860758422903033,0.19739290929626666,0.008580047545364448,1.5,2.5,2,5.566491042537905,1.0,4.0,1.308578691615987
VST-CA,pure,Melbourne,367,2,False,23,3,10,N/A,3,1.9860758422903033,0.19739290929626666,0.008580047545364448,1.5,2.5,2,6.17119069527655,1.0,4.0,1.308578691615987
VST-NCA,N/A,Melbourne,274,3,False,24,4,10,N/A,6,1.9542538880278626,0.21732746336933634,0.014138752394212036,1.3333333333333333,1.3333333333333333,0,5.267091969962735,1.0,4.0,1.7555631690535134
VST-CA,mixed,Melbourne,274,3,False,24,4,10,N/A,6,1.9542538880278626,0.21732746336933634,0.014138752394212036,1.3333333333333333,1.3333333333333333,2,7.456892743751041,1.0,4.0,1.7555631690535134
VST-CA,pure,Melbourne,274,3,False,24,4,10,N/A,6,1.9542538880278626,0.21732746336933634,0.014138752394212036,1.3333333333333333,1.3333333333333333,2,7.2659906183793055,1.0,4.0,1.7555631690535134
VST-NCA,N/A,Melbourne,305,2,False,25,2,10,N/A,4,0.7618666480283401,0.23093990740422318,0.012634714234094598,1.0,2.0,0,5.436993018062594,1.0,4.0,1.2010772760945718
VST-CA,mixed,Melbourne,305,2,False,25,2,10,N/A,4,0.6019483082640132,0.21395977571476915,0.012634714234094598,1.0,1.0,3,6.356244209515694,1.0,4.0,1.1215159691809533
VST-CA,pure,Melbourne,305,2,False,25,2,10,N/A,4,0.5987966263159865,0.21315547152120776,0.012634714234094598,1.0,1.0,4,9.905038229531897,1.0,4.0,1.1215159691809533
VST-NCA,N/A,Melbourne,320,2,False,26,3,10,N/A,3,4.922429143567987,0.22654246034561887,0.00863011300364429,2.0,2.5,0,4.8481792763527665,1.0,4.0,1.5155190468248612
VST-CA,mixed,Melbourne,320,2,False,26,3,10,N/A,3,4.922429143567987,0.22654246034561887,0.00863011300364429,2.0,2.5,2,6.5313342420470235,1.0,4.0,1.5155190468248612
VST-CA,pure,Melbourne,320,2,False,26,3,10,N/A,3,4.922429143567987,0.22654246034561887,0.00863011300364429,2.0,2.5,2,7.587097370138167,1.0,4.0,1.5155190468248612
VST-NCA,N/A,Melbourne,316,1,False,27,1,10,N/A,2,1.450413658128164,0.14287209772268078,0.008618177368470176,1.0,3.0,0,0.4429024206444865,1.0,4.0,0.826041036544949
VST-CA,mixed,Melbourne,316,1,False,27,1,10,N/A,2,1.450413658128164,0.14287209772268078,0.008618177368470176,1.0,3.0,2,1.2412102077528289,1.0,4.0,0.826041036544949
VST-CA,pure,Melbourne,316,1,False,27,1,10,N/A,2,1.450413658128164,0.14287209772268078,0.008618177368470176,1.0,3.0,2,1.236473606444747,1.0,4.0,0.826041036544949
VST-NCA,N/A,Melbourne,503,5,False,28,8,10,N/A,23,3.9145650792268616,0.15909639662803746,0.005192859864541195,1.4,2.4,0,12.574401431204478,1.0,4.0,2.0236959401246737
VST-CA,mixed,Melbourne,503,5,False,28,8,10,N/A,23,3.9145650792268616,0.15909639662803746,0.005192859864541195,1.4,2.4,2,22.91010010456921,1.0,4.0,2.0236959401246737
VST-CA,pure,Melbourne,503,5,False,28,8,10,N/A,23,3.9145650792268616,0.15909639662803746,0.005192859864541195,1.4,2.4,2,22.7179414909931,1.0,4.0,2.0236959401246737
VST-NCA,N/A,Melbourne,342,2,False,29,3,10,N/A,5,2.166704868311867,0.18887486124303482,0.00811927445523422,1.5,2.5,0,3.8395776810115194,1.0,4.0,1.3596560873098271
VST-CA,mixed,Melbourne,342,2,False,29,3,10,N/A,5,2.166704868311867,0.18887486124303482,0.00811927445523422,1.5,2.5,2,6.530227758717956,1.0,4.0,1.3596560873098271
VST-CA,pure,Melbourne,342,2,False,29,3,10,N/A,5,2.166704868311867,0.18887486124303482,0.00811927445523422,1.5,2.5,2,6.381264627942528,1.0,4.0,1.3596560873098271
VST-NCA,N/A,Melbourne,292,2,False,30,3,10,N/A,5,1.8445956695504055,0.19423352776666133,0.0069253884582928475,1.5,3.0,0,4.886992248300658,1.0,4.0,1.4990862442939463
VST-CA,mixed,Melbourne,292,2,False,30,3,10,N/A,5,1.8445956695504055,0.19423352776666133,0.0069253884582928475,1.5,3.0,2,5.968614637870473,1.0,4.0,1.4990862442939463
VST-CA,pure,Melbourne,292,2,False,30,3,10,N/A,5,1.8445956695504055,0.19423352776666133,0.0069253884582928475,1.5,3.0,2,5.930708800667617,1.0,4.0,1.4990862442939463
VST-NCA,N/A,Melbourne,475,1,False,31,1,10,N/A,1,2.828244234044706,0.15753433767544706,0.011162745593182108,3.0,3.0,0,2.300894384330718,1.0,4.0,0.6524208606945067
VST-CA,mixed,Melbourne,475,1,False,31,1,10,N/A,1,2.828244234044706,0.15753433767544706,0.011162745593182108,3.0,3.0,2,8.03756990523243,1.0,4.0,0.6524208606945067
VST-CA,pure,Melbourne,475,1,False,31,1,10,N/A,1,2.828244234044706,0.15753433767544706,0.011162745593182108,3.0,3.0,2,8.734618480363793,1.0,4.0,0.6524208606945067
VST-NCA,N/A,Melbourne,229,1,False,32,1,10,N/A,1,5.157483182539368,0.17385415686919753,0.012613511184743971,3.0,3.0,0,0.36408235899250485,1.0,4.0,0.8834824920027304
