Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,mixed,zipfian,900,11,False,1,32,16,0.1,1,9198.205440535095,0.1557679415296164,0.002815965165468232,2.727272727272727,3.0,2,230.79115294931307,1.0,4.0,3.0665502918370855
VST-CA,mixed,uniform,900,11,False,1,32,16,0.1,1,6046.648620358235,0.1511014063762043,0.0016030078434081689,1.6363636363636365,2.727272727272727,3,292.4983205375229,1.0,4.0,3.051479628653329
VST-CA,pure,zipfian,900,11,False,1,32,16,0.1,1,9198.205440535095,0.1557679415296164,0.002815965165468232,2.727272727272727,3.0,2,290.57385588715897,1.0,4.0,3.0665502918370855
VST-CA,pure,uniform,900,11,False,1,32,16,0.1,1,6046.648620358235,0.1511014063762043,0.0016030078434081689,1.6363636363636365,2.727272727272727,3,399.70862934624347,1.0,4.0,3.051479628653329
VST-NCA,N/A,zipfian,900,11,False,2,32,16,0.1,1,6483.459862332315,0.15295402437775904,0.0023466376378901937,2.272727272727273,2.8181818181818183,0,150.19442052919294,1.0,4.0,3.0350161820229853
VST-NCA,N/A,uniform,900,11,False,2,32,16,0.1,1,7698.269696995334,0.14931220775132606,0.0018679256910807468,2.272727272727273,3.090909090909091,0,131.94645931255945,1.0,4.0,3.0176609921588518
VST-CA,mixed,zipfian,900,11,False,2,32,16,0.1,1,6483.459862332315,0.15295402437775904,0.0023466376378901937,2.272727272727273,2.8181818181818183,2,228.10199976236072,1.0,4.0,3.0350161820229853
VST-CA,mixed,uniform,900,11,False,2,32,16,0.1,1,7698.269696995334,0.14931220775132606,0.0018679256910807468,2.272727272727273,3.090909090909091,2,217.42105618432652,1.0,4.0,3.0176609921588518
VST-CA,pure,zipfian,900,11,False,2,32,16,0.1,1,6483.459862332315,0.15295402437775904,0.0023466376378901937,2.272727272727273,2.8181818181818183,2,290.3585692850802,1.0,4.0,3.0350161820229853
VST-CA,pure,uniform,900,11,False,2,32,16,0.1,1,7698.269696995334,0.14931220775132606,0.0018679256910807468,2.272727272727273,3.090909090909091,2,262.48042732441445,1.0,4.0,3.0176609921588518
VST-NCA,N/A,zipfian,900,11,False,3,32,16,0.1,1,9062.020905192174,0.1593299410508357,0.00290983067098384,2.8181818181818183,3.0,0,140.80478326071898,1.0,4.0,3.0919435909047586
VST-NCA,N/A,uniform,900,11,False,3,32,16,0.1,1,5903.041055400961,0.15325184429339142,0.001513951852107715,1.5454545454545454,2.5454545454545454,0,154.42682624027293,1.0,4.0,3.0801664200991428
VST-CA,mixed,zipfian,900,11,False,3,32,16,0.1,1,9062.020905192174,0.1593299410508357,0.00290983067098384,2.8181818181818183,3.0,2,233.24729843193563,1.0,4.0,3.0919435909047586
VST-CA,mixed,uniform,900,11,False,3,32,16,0.1,1,5903.041055400961,0.15325184429339142,0.001513951852107715,1.5454545454545454,2.5454545454545454,2,222.70659954343319,1.0,4.0,3.0801664200991428
VST-CA,pure,zipfian,900,11,False,3,32,16,0.1,1,9062.020905192174,0.1593299410508357,0.00290983067098384,2.8181818181818183,3.0,2,311.86818203170515,1.0,4.0,3.0919435909047586
VST-CA,pure,uniform,900,11,False,3,32,16,0.1,1,5903.041055400961,0.15325184429339142,0.001513951852107715,1.5454545454545454,2.5454545454545454,2,335.5873827741507,1.0,4.0,3.0801664200991428
VST-NCA,N/A,zipfian,900,11,False,4,32,16,0.1,1,6321.2700113084165,0.1585197101753081,0.0024405031434058012,2.3636363636363638,2.6363636363636362,0,240.52005269118672,1.0,4.0,3.1035664982174267
VST-NCA,N/A,uniform,900,11,False,4,32,16,0.1,1,7645.502560289509,0.15682289062772986,0.0018679256910807468,2.272727272727273,3.090909090909091,0,241.50640224754716,1.0,4.0,3.078638829760069
VST-CA,mixed,zipfian,900,11,False,4,32,16,0.1,1,6321.2700113084165,0.1585197101753081,0.0024405031434058012,2.3636363636363638,2.6363636363636362,2,350.184989170044,1.0,4.0,3.1035664982174267
VST-CA,mixed,uniform,900,11,False,4,32,16,0.1,1,7645.502560289509,0.15682289062772986,0.0018679256910807468,2.272727272727273,3.090909090909091,2,335.3267631198014,1.0,4.0,3.078638829760069
VST-CA,pure,zipfian,900,11,False,4,32,16,0.1,1,6321.2700113084165,0.1585197101753081,0.0024405031434058012,2.3636363636363638,2.6363636363636362,2,451.32994085465725,1.0,4.0,3.1035664982174267
VST-CA,pure,uniform,900,11,False,4,32,16,0.1,1,7645.502560289509,0.15682289062772986,0.0018679256910807468,2.272727272727273,3.090909090909091,2,435.65148025205417,1.0,4.0,3.078638829760069
