Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Num POIs query,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,mixed,uniform,900,16,False,3,16,16,0.1,1,700.7625847540204,0.04971545463756438,0.000489807952152496,0.5,0.875,3,102.47041309591077,0.15,4.0,2.2453596336977966
VST-CA,pure,zipfian,900,16,False,3,16,16,0.1,1,721.2541851197725,0.05094437827504242,0.00043896615441022094,0.5625,1.1875,5,256.5647313593672,0.15,4.0,2.2685373593195397
VST-CA,pure,uniform,900,16,False,3,16,16,0.1,1,700.5008468523462,0.04970364329478216,0.000489807952152496,0.5,0.875,3,139.4317267922197,0.15,4.0,2.2427812986753226
VST-NCA,N/A,zipfian,900,16,False,4,16,16,0.1,1,781.187787088744,0.054830131897374,0.0004495753981768931,1.125,1.125,0,57.566520757429316,0.15,4.0,2.325908079140624
VST-NCA,N/A,uniform,900,16,False,4,16,16,0.1,1,734.1182327564989,0.05171741888852124,0.0006453253504198032,0.625,1.1875,0,49.31835018217134,0.15,4.0,2.307504220117216
VST-CA,mixed,zipfian,900,16,False,4,16,16,0.1,1,780.9121810526664,0.054823441116263714,0.0004495753981768931,1.125,1.125,3,130.47989172268535,0.15,4.0,2.3246092200675057
VST-CA,mixed,uniform,900,16,False,4,16,16,0.1,1,731.1595957781734,0.051534195214451836,0.0007098578854617836,0.6875,1.1875,3,111.11888643711245,0.15,4.0,2.30001259786911
VST-CA,pure,zipfian,900,16,False,4,16,16,0.1,1,778.0953213530455,0.054746557107938715,0.0004920914695372423,0.6875,1.125,5,283.5517693847178,0.15,4.0,2.335022117422113
VST-CA,pure,uniform,900,16,False,4,16,16,0.1,1,731.1595957781734,0.051534195214451836,0.0007098578854617836,0.6875,1.1875,3,146.60767178118658,0.15,4.0,2.30001259786911
VST-NCA,N/A,zipfian,900,8,False,0,32,4,0.1,1,520.1354556066947,0.07026954711893231,0.0010558129218344937,1.25,1.625,0,4.752330784625883,0.15,4.0,1.889475545993653
VST-NCA,N/A,uniform,900,8,False,0,32,4,0.1,1,499.06427249511466,0.06879574471547903,0.0007743904205037639,0.75,1.375,0,4.779751116129773,0.15,4.0,1.8672130091818426
VST-CA,mixed,zipfian,900,8,False,0,32,4,0.1,1,514.3695627782841,0.07015413828234414,0.0009502316296510444,1.125,1.5,4,9.719620772822964,0.15,4.0,1.8974137060997842
VST-CA,mixed,uniform,900,8,False,0,32,4,0.1,1,493.96423199071813,0.0686182116347471,0.0008218873040755285,1.0,1.25,6,11.996425309180268,0.15,4.0,1.8796535024845125
VST-CA,pure,zipfian,900,8,False,0,32,4,0.1,1,512.3357220017732,0.0700699405696796,0.0009034554905877246,0.875,1.5,4,14.32324318776773,0.15,4.0,1.8920913559579544
VST-CA,pure,uniform,900,8,False,0,32,4,0.1,1,491.7955871016376,0.06828094634566509,0.0009034554905877246,0.875,1.25,4,14.305628880792938,0.15,4.0,1.8646187772665985
VST-NCA,N/A,zipfian,900,8,False,1,32,4,0.1,1,534.8777638021718,0.07099765613661058,0.0009034554905877246,0.875,1.875,0,5.22466464822719,0.15,4.0,1.923133352421729
VST-NCA,N/A,uniform,900,8,False,1,32,4,0.1,1,501.64644077479136,0.06518970776776188,0.0009246232170849696,1.125,2.0,0,4.5190814389079605,0.15,4.0,1.8531000726128861
VST-CA,mixed,zipfian,900,8,False,1,32,4,0.1,1,529.728081101038,0.07088315615543656,0.0009034554905877246,0.875,1.875,3,9.758332734643773,0.15,4.0,1.9227563568130088
VST-CA,mixed,uniform,900,8,False,1,32,4,0.1,1,501.22607792749625,0.06518780580724519,0.0009246232170849696,1.125,2.0,3,7.967432134242699,0.15,4.0,1.8545580051577337
VST-CA,pure,zipfian,900,8,False,1,32,4,0.1,1,528.3230827241381,0.07085019279419642,0.0009034554905877246,0.875,1.875,4,16.065737671267925,0.15,4.0,1.9286442390613092
VST-CA,pure,uniform,900,8,False,1,32,4,0.1,1,501.50571315748175,0.0651462743569478,0.0008218873040755285,1.0,2.0,4,13.16196130753815,0.15,4.0,1.851677385372222
