Hotspot, 0, 2500, 205, 30, 10, 9, 0.044380284236567036, 531.903808908753, 0
eVST-RS, 0, 2500, 205, 30, 15, 9, 8.408197874132384e-05, 0, 0
Hotspot, 0, 2500, 205, 30, 15, 9, 0.00023053462716404738, 0, 0
eVST-RS, 0, 2500, 204, 30, 5, 10, , , 0
Hotspot, 0, 2500, 204, 30, 5, 10, 0.07560312042829764, 845.7710383853178, 0
eVST-RS, 0, 2500, 204, 30, 10, 10, 0.12293337944025495, 604.7217835019096, 0
Hotspot, 0, 2500, 204, 30, 10, 10, 0.06398164881207435, 640.1970176942489, 0
eVST-RS, 0, 2500, 204, 30, 15, 10, 9.000324486407862e-05, 0, 0
Hotspot, 0, 2500, 204, 30, 15, 10, 0.00023685064435596814, 0, 0
eVST-RS, 0, 2500, 201, 40, 5, 1, , , 0
Hotspot, 0, 2500, 201, 40, 5, 1, 0.11524520752459466, 1277.3312454971017, 0
eVST-RS, 0, 2500, 201, 40, 10, 1, 0.5687774796091389, 735.711803494498, 0
Hotspot, 0, 2500, 201, 40, 10, 1, 0.06478694100287896, 804.0057547180276, 0
eVST-RS, 0, 2500, 201, 40, 15, 1, 0.0164583565249643, 196.23983911472575, 0
Hotspot, 0, 2500, 201, 40, 15, 1, 0.013491407453386728, 196.2398391147257, 0
eVST-RS, 0, 2500, 206, 40, 5, 2, , , 0
Hotspot, 0, 2500, 206, 40, 5, 2, 0.11081491622198314, 1271.3523923813086, 0
eVST-RS, 0, 2500, 206, 40, 10, 2, 0.1604331524583955, 864.9254675274891, 0
Hotspot, 0, 2500, 206, 40, 10, 2, 0.0621484248247981, 729.5217544686622, 0
eVST-RS, 0, 2500, 206, 40, 15, 2, 0.03072189707891937, 283.99318074290017, 0
Hotspot, 0, 2500, 206, 40, 15, 2, 0.02014967381718691, 268.7272451833472, 0
eVST-RS, 0, 2500, 205, 40, 5, 3, , , 0
Hotspot, 0, 2500, 205, 40, 5, 3, 0.16721694966371103, 1542.5016065052398, 0
eVST-RS, 0, 2500, 205, 40, 10, 3, 0.2328154988745723, 827.566382995032, 0
Hotspot, 0, 2500, 205, 40, 10, 3, 0.06771086220739164, 776.2805380537704, 0
eVST-RS, 0, 2500, 205, 40, 15, 3, 0.053294158236752764, 363.47656176019376, 0
Hotspot, 0, 2500, 205, 40, 15, 3, 0.03375358532662176, 378.52740239275226, 0
eVST-RS, 0, 2500, 199, 40, 5, 4, , , 0
Hotspot, 0, 2500, 199, 40, 5, 4, 0.159733258804323, 1494.6997517710552, 0
eVST-RS, 0, 2500, 199, 40, 10, 4, 0.40141802480773947, 864.1664140381781, 0
Hotspot, 0, 2500, 199, 40, 10, 4, 0.10130338909587522, 914.8413782895084, 0
eVST-RS, 0, 2500, 199, 40, 15, 4, 0.04273101424972481, 278.28230768887016, 0
Hotspot, 0, 2500, 199, 40, 15, 4, 0.031239020985751154, 282.48393795507116, 0
eVST-RS, 0, 2500, 202, 40, 5, 5, , , 0
Hotspot, 0, 2500, 202, 40, 5, 5, 0.12024709838223657, 1326.641912737045, 0
eVST-RS, 0, 2500, 202, 40, 10, 5, 0.23994075575882334, 827.0761811266873, 0
Hotspot, 0, 2500, 202, 40, 10, 5, 0.06317911987879654, 770.8375418393049, 0
eVST-RS, 0, 2500, 202, 40, 15, 5, 0.08925913907948768, 407.3925809739194, 0
Hotspot, 0, 2500, 202, 40, 15, 5, 0.03790202436245238, 426.52211546173527, 0
eVST-RS, 0, 2500, 203, 40, 5, 6, , , 0
