['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 0, 16, 16, 0.25, 4, 1510.1244231366309, 0.061899345980895526, 0.3, '50(*)', 321.3900421666367, 0.22, 4.0]
	sample: 1
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 1, 16, 16, 0.25, 4, 1717.8670409980339, 0.07179017671404526, 0.6666666666666666, 0, 16.962571913436477, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 1, 16, 16, 0.25, 4, 1510.2612280258063, 0.06275254364490507, 0.4, 0, 10.656733704623548, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 1, 16, 16, 0.25, 4, 1724.1855858358508, 0.07085403929437507, 0.3, '50(*)', 792.4218911405933, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 1, 16, 16, 0.25, 4, 1523.1288383717995, 0.06252650866060977, 0.3, '50(*)', 502.1508464373874, 0.22, 4.0]
	sample: 2
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 2, 16, 16, 0.25, 4, 1740.7594049988406, 0.07254970465363347, 0.4, 0, 21.001553345644425, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 2, 16, 16, 0.25, 4, 1569.340903358404, 0.06535779713211119, 0.36363636363636365, 0, 9.668185972472202, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 2, 16, 16, 0.25, 4, 1732.2516171580598, 0.07030111325416666, 0.3333333333333333, '50(*)', 841.2684855572734, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 2, 16, 16, 0.25, 4, 1583.150818974193, 0.0648189213320792, 0.36363636363636365, '50(*)', 496.32234000462813, 0.22, 4.0]
	sample: 3
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 3, 16, 16, 0.25, 4, 1813.2376668136465, 0.07562080688795501, 0.5454545454545454, 0, 17.251450584672057, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 3, 16, 16, 0.25, 4, 1512.431486312539, 0.06283392619059043, 0.5, 0, 6.834488891807268, 0.22, 4.0]
