Dreyfus,0,1600,128,6,3.0400833405047027,8,0.25052679946724155,222.0,5,1,0,288,226,791,585,888,362
Gravitation 2,0,1600,128,6,1.4608238046250985,8,0.24438718754219124,339.0,7,1,0,288,226,791,585,888,362
Gravitation 3,0,1600,128,6,1.4608238046250985,8,0.3651713114760575,339.0,7,1,0,288,226,791,585,888,362
Spiders,0,1600,128,6,1.4608238046250985,9,0.3725097918776967,465.0,10,1,0,504,1548,637,163,252,1165
Dreyfus,0,1600,128,6,3.0400833405047027,9,0.26755412672083523,322.0,8,2,0,504,1548,637,163,252,1165
Gravitation 2,0,1600,128,6,1.4608238046250985,9,0.38115214537059927,475.0,14,1,0,504,1548,637,163,252,1165
Gravitation 3,0,1600,128,6,1.4608238046250985,9,0.3705920760201842,477.0,14,1,0,504,1548,637,163,252,1165
Spiders,0,1600,128,6,1.4608238046250985,10,0.21272632244627587,288.0,12,1,0,285,150,1540,1137,1219,1575
Dreyfus,0,1600,128,6,3.0400833405047027,10,0.392783182839878,251.0,4,1,0,285,150,1540,1137,1219,1575
Gravitation 2,0,1600,128,6,1.4608238046250985,10,0.2869460315755994,326.0,9,1,0,285,150,1540,1137,1219,1575
Gravitation 3,0,1600,128,6,1.4608238046250985,10,0.28457987495766446,326.0,9,1,0,285,150,1540,1137,1219,1575
Spiders,0,2500,228,6,3.3395715022212826,1,0.38991134610389366,401.0,14,0,0,1153,151,316,1357,1962,2431
Dreyfus,0,2500,228,6,8.517820388422336,1,0.8514180754785841,309.0,4,0,0,1153,151,316,1357,1962,2431
Gravitation 2,0,2500,228,6,3.3395715022212826,1,0.5514684461132902,502.0,16,0,0,1153,151,316,1357,1962,2431
Gravitation 3,0,2500,228,6,3.3395715022212826,1,0.5460859727256491,502.0,16,0,0,1153,151,316,1357,1962,2431
Spiders,0,2500,228,6,3.3395715022212826,2,0.5068817498032132,443.0,11,1,0,2347,1442,784,805,2077,2404
Dreyfus,0,2500,228,6,8.517820388422336,2,0.5130213617282706,380.0,12,2,0,2347,1442,784,805,2077,2404
Gravitation 2,0,2500,228,6,3.3395715022212826,2,0.6431173422621441,534.0,11,0,0,2347,1442,784,805,2077,2404
Gravitation 3,0,2500,228,6,3.3395715022212826,2,0.6420546639812912,534.0,11,0,0,2347,1442,784,805,2077,2404
Spiders,0,2500,228,6,3.3395715022212826,3,0.3554844383950524,375.0,11,0,0,995,422,1970,468,2228,1594
Dreyfus,0,2500,228,6,8.517820388422336,3,0.4983246632154632,300.0,6,1,0,995,422,1970,468,2228,1594
Gravitation 2,0,2500,228,6,3.3395715022212826,3,0.545145273489652,429.0,13,1,0,995,422,1970,468,2228,1594
Gravitation 3,0,2500,228,6,3.3395715022212826,3,0.8908488873063618,429.0,13,1,0,995,422,1970,468,2228,1594
Spiders,0,2500,228,6,3.3395715022212826,4,0.3123429371764459,225.0,10,0,0,1172,1710,2159,1556,2078,1604
Dreyfus,0,2500,228,6,8.517820388422336,4,0.5039874120783736,195.0,7,2,0,1172,1710,2159,1556,2078,1604
Gravitation 2,0,2500,228,6,3.3395715022212826,4,0.4297380963847601,269.0,9,2,0,1172,1710,2159,1556,2078,1604
Gravitation 3,0,2500,228,6,3.3395715022212826,4,0.4249698605175496,269.0,9,2,0,1172,1710,2159,1556,2078,1604
Spiders,0,2500,228,6,3.3395715022212826,5,0.35173585260194073,331.0,17,0,0,1237,1266,1937,1019,691,666
Dreyfus,0,2500,228,6,8.517820388422336,5,0.48837922613967066,239.0,9,1,0,1237,1266,1937,1019,691,666
Gravitation 2,0,2500,228,6,3.3395715022212826,5,0.444681516266634,359.0,17,2,0,1237,1266,1937,1019,691,666
Gravitation 3,0,2500,228,6,3.3395715022212826,5,0.4439089823158042,359.0,17,2,0,1237,1266,1937,1019,691,666
Spiders,0,2500,228,6,3.3395715022212826,6,0.3277912476679887,235.0,8,2,0,945,581,984,1812,1465,979
Dreyfus,0,2500,228,6,8.517820388422336,6,0.813006913724891,208.0,2,0,0,945,581,984,1812,1465,979
Gravitation 2,0,2500,228,6,3.3395715022212826,6,0.4452254875411654,271.0,7,2,0,945,581,984,1812,1465,979
Gravitation 3,0,2500,228,6,3.3395715022212826,6,0.44221193405078907,271.0,7,2,0,945,581,984,1812,1465,979
Spiders,0,2500,228,6,3.3395715022212826,7,0.4341431583967008,412.0,13,2,0,967,2452,915,1729,86,1336
Dreyfus,0,2500,228,6,8.517820388422336,7,0.4994540549545192,357.0,6,0,0,967,2452,915,1729,86,1336
Gravitation 2,0,2500,228,6,3.3395715022212826,7,0.5909170218796476,444.0,17,1,0,967,2452,915,1729,86,1336
Gravitation 3,0,2500,228,6,3.3395715022212826,7,0.6146678025060623,444.0,17,1,0,967,2452,915,1729,86,1336
Spiders,0,2500,228,6,3.3395715022212826,8,0.4572504896925693,504.0,19,2,0,789,2011,478,2341,404,1436
Dreyfus,0,2500,228,6,8.517820388422336,8,0.5031789554962032,366.0,7,2,0,789,2011,478,2341,404,1436
Gravitation 2,0,2500,228,6,3.3395715022212826,8,0.6691091424281055,491.0,17,1,0,789,2011,478,2341,404,1436
Gravitation 3,0,2500,228,6,3.3395715022212826,8,0.9554460682877348,491.0,17,1,0,789,2011,478,2341,404,1436
Spiders,0,2500,228,6,3.3395715022212826,9,0.5853734887822668,565.0,21,1,0,2077,1704,649,708,353,2150
Dreyfus,0,2500,228,6,8.517820388422336,9,0.5147661752503296,370.0,8,1,0,2077,1704,649,708,353,2150
Gravitation 2,0,2500,228,6,3.3395715022212826,9,0.7266840411144386,550.0,21,0,0,2077,1704,649,708,353,2150
Gravitation 3,0,2500,228,6,3.3395715022212826,9,0.7278067220322626,550.0,21,0,0,2077,1704,649,708,353,2150
Spiders,0,2500,228,6,3.3395715022212826,10,0.37920284917784386,302.0,8,0,0,1373,2298,1531,2435,1745,1057
Dreyfus,0,2500,228,6,8.517820388422336,10,0.515702137436044,252.0,7,1,0,1373,2298,1531,2435,1745,1057
Gravitation 2,0,2500,228,6,3.3395715022212826,10,0.6279228587151024,503.0,17,1,0,1373,2298,1531,2435,1745,1057
Gravitation 3,0,2500,228,6,3.3395715022212826,10,0.6269868965294023,486.0,17,1,0,1373,2298,1531,2435,1745,1057
Spiders,0,3600,336,6,8.649938299920024,1,0.9264565047990203,490.0,16,3,0,325,3443,2531,1901,2447,3522
Dreyfus,0,3600,336,6,19.289944189652537,1,0.9129361737739572,398.0,6,0,0,325,3443,2531,1901,2447,3522
Gravitation 2,0,3600,336,6,8.649938299920024,1,1.4053043910087695,786.0,29,0,0,325,3443,2531,1901,2447,3522
Gravitation 3,0,3600,336,6,8.649938299920024,1,1.4288510837186834,833.0,30,0,0,325,3443,2531,1901,2447,3522
Spiders,0,3600,336,6,8.649938299920024,2,0.6100882591419037,382.0,12,0,0,1282,461,3317,1,70,2238
Dreyfus,0,3600,336,6,19.289944189652537,2,0.9314923840073988,352.0,8,0,0,1282,461,3317,1,70,2238
Gravitation 2,0,3600,336,6,8.649938299920024,2,0.9397455098684588,577.0,12,1,0,1282,461,3317,1,70,2238
Gravitation 3,0,3600,336,6,8.649938299920024,2,0.9424989203472904,582.0,12,1,0,1282,461,3317,1,70,2238
Spiders,0,3600,336,6,8.649938299920024,3,0.7019278215647802,409.0,13,1,0,2285,2153,2341,2243,2871,2685
Dreyfus,0,3600,336,6,19.289944189652537,3,0.9276226086777939,294.0,8,0,0,2285,2153,2341,2243,2871,2685
Gravitation 2,0,3600,336,6,8.649938299920024,3,2.014492215842111,668.0,19,0,0,2285,2153,2341,2243,2871,2685
Gravitation 3,0,3600,336,6,8.649938299920024,3,1.1961675684168256,585.0,18,1,0,2285,2153,2341,2243,2871,2685
Spiders,0,3600,336,6,8.649938299920024,4,0.6386656992557391,396.0,11,0,0,746,2676,1495,223,2810,2089
Dreyfus,0,3600,336,6,19.289944189652537,4,0.9148084928995672,337.0,6,2,0,746,2676,1495,223,2810,2089
Gravitation 2,0,3600,336,6,8.649938299920024,4,0.9553986977848865,520.0,20,1,0,746,2676,1495,223,2810,2089
Gravitation 3,0,3600,336,6,8.649938299920024,4,0.9650480692177723,520.0,20,1,0,746,2676,1495,223,2810,2089
Spiders,0,3600,336,6,8.649938299920024,5,0.9197697635659239,481.0,18,1,0,418,3580,3560,3466,2487,2927
Dreyfus,0,3600,336,6,19.289944189652537,5,0.9476492782709158,389.0,5,1,0,418,3580,3560,3466,2487,2927
Gravitation 2,0,3600,336,6,8.649938299920024,5,1.2415725901638268,545.0,18,1,0,418,3580,3560,3466,2487,2927
Gravitation 3,0,3600,336,6,8.649938299920024,5,1.2432443741606534,545.0,18,0,0,418,3580,3560,3466,2487,2927
Spiders,0,3600,336,6,8.649938299920024,6,1.1845069243832427,640.0,22,0,0,815,1031,2973,2632,3369,1016
Dreyfus,0,3600,336,6,19.289944189652537,6,0.9151010057547353,481.0,7,1,0,815,1031,2973,2632,3369,1016
