Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,uniform,10000,16,64,FALSE,8,16,32,0.25,8,7220.026087481979,0.010666958463580015,0.2777777777777778,0,324.3866936521663,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,8,16,32,0.25,8,7214.007460898239,0.010407740397274426,0.15789473684210525,6,927.6572797697154,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,9,16,32,0.25,8,7300.019543846847,0.01072615443780676,0.21052631578947367,0,395.2599735039985,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,9,16,32,0.25,8,7329.007228992029,0.010585243096766684,0.15,9,973.1895257878059,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,32,8,0.25,2,7500.025648295521,0.011140523074377092,0.25,0,459.917281301372,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,32,8,0.25,2,7508.0068353089455,0.010780455760176534,0.13636363636363635,12,1504.0347842975752,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,32,8,0.25,2,7176.031092281437,0.010569929084754258,0.25,0,623.0400578396075,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,32,8,0.25,2,7186.005047253437,0.010381091415334217,0.14285714285714285,9,1957.9029390355136,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,32,8,0.25,2,7304.030041248118,0.010849865289342108,0.25,0,634.1005036293936,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,32,8,0.25,2,7285.0063159035235,0.01038064431846238,0.125,18,2761.1722911465768,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,32,8,0.25,2,7049.017004135837,0.010502841292272589,0.1875,0,471.58272501472675,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,3,32,8,0.25,2,7067.004863928506,0.01020412834575619,0.13043478260869565,13,1599.9995977438957,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,4,32,8,0.25,2,7192.016078808709,0.010585825549677474,0.1875,0,717.4476261757809,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,4,32,8,0.25,2,7212.0045972276985,0.010361839533001231,0.125,14,3158.101123790664,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,5,32,8,0.25,2,7444.034759779071,0.0110712823919703,0.23529411764705882,0,434.4595513522072,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,5,32,8,0.25,2,7440.006557215043,0.010771697712711813,0.15789473684210525,11,1174.7106590368203,0.15,4.0
