Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,32,16,0.2,3,3374.401039,0.139648334,0.7,0,39.61854,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,32,16,0.2,3,3296.41807,0.136730874,0.6,0,45.65736,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,32,16,0.2,3,3357.880328,0.137157168,0.416666667,50,1988.79228,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,32,16,0.2,3,3300.699598,0.134124693,0.461538462,50,1960.26882,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,32,16,0.2,3,3314.110434,0.137138633,0.8,0,45.23682,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,32,16,0.2,3,3331.486637,0.138218756,0.6,0,41.75472,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,32,16,0.2,3,3340.721637,0.136556209,0.454545455,50,1912.70316,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,32,16,0.2,3,3328.794681,0.135797536,0.416666667,50,1977.3219,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,32,16,0.2,3,3359.901433,0.139990918,0.7,0,44.92578,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,32,16,0.2,3,3321.358518,0.138498287,0.7,0,40.7457,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,32,16,0.2,3,3348.828817,0.136820004,0.545454545,50,1936.11042,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,32,16,0.2,3,3339.509243,0.136299028,0.4,50,1952.7573,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,32,16,0.2,3,3222.273962,0.134053235,0.6,0,44.1348,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,32,16,0.2,3,3299.082922,0.137487125,0.9,0,45.5214,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,32,16,0.2,3,3214.744884,0.131557034,0.454545455,50,1979.74368,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,32,16,0.2,3,3327.009425,0.136254896,0.5,50,1966.71102,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,32,16,0.2,3,3279.809208,0.135635922,0.6,0,45.00954,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,32,16,0.2,3,3236.287068,0.135319461,0.7,0,43.51494,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,32,16,0.2,3,3261.219188,0.133284554,0.636363636,50,2026.28202,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,32,16,0.2,3,3235.207423,0.131757292,0.4,50,1973.57292,0.22,4
